input_data/a_most_awful_time-1,Neu,Neu
input_data/a_most_awful_time-2,Neu,Neu
input_data/a_most_awful_time-3,Neu,Neu
input_data/a_most_awful_time-4,NoNeu,NoNeu
input_data/a_most_awful_time-5,NoNeu,Neu
input_data/a_most_awful_time-6,NoNeu,NoNeu
input_data/a_most_awful_time-7,NoNeu,NoNeu
input_data/a_most_awful_time-8,NoNeu,NoNeu
input_data/a_most_awful_time-9,NoNeu,NoNeu
input_data/a_most_awful_time-10,Neu,Neu
input_data/a_most_awful_time-11,Neu,Neu
input_data/a_most_awful_time-12,Neu,NoNeu
input_data/a_most_awful_time-13,NoNeu,NoNeu
input_data/a_most_awful_time-14,Neu,NoNeu
input_data/a_most_awful_time-15,Neu,Neu
input_data/a_most_awful_time-16,Neu,Neu
input_data/a_most_awful_time-17,Neu,Neu
input_data/a_noisy_business-1,Neu,Neu
input_data/a_noisy_business-2,Neu,Neu
input_data/a_noisy_business-3,Neu,Neu
input_data/a_noisy_business-4,Neu,Neu
input_data/a_noisy_business-5,NoNeu,NoNeu
input_data/a_noisy_business-6,Neu,Neu
input_data/a_noisy_business-7,NoNeu,NoNeu
input_data/a_noisy_business-8,Neu,Neu
input_data/a_noisy_business-9,Neu,Neu
input_data/a_noisy_business-10,NoNeu,NoNeu
input_data/a_noisy_business-11,Neu,NoNeu
input_data/a_noisy_business-12,Neu,Neu
input_data/a_noisy_business-13,Neu,Neu
input_data/a_noisy_business-14,NoNeu,Neu
input_data/a_noisy_business-15,Neu,Neu
input_data/a_noisy_business-16,NoNeu,Neu
input_data/a_noisy_business-17,Neu,Neu
input_data/a_noisy_business-18,NoNeu,NoNeu
input_data/a_noisy_business-19,Neu,Neu
input_data/a_noisy_business-20,Neu,Neu
input_data/a_noisy_business-21,Neu,Neu
input_data/a_noisy_business-22,Neu,Neu
input_data/a_noisy_business-23,Neu,Neu
input_data/a_noisy_business-24,NoNeu,Neu
input_data/a_noisy_business-25,NoNeu,NoNeu
input_data/a_noisy_business-26,NoNeu,NoNeu
input_data/a_noisy_business-27,Neu,Neu
input_data/a_noisy_business-28,Neu,Neu
input_data/a_noisy_business-29,Neu,Neu
input_data/a_noisy_business-30,NoNeu,NoNeu
input_data/a_noisy_business-31,NoNeu,NoNeu
input_data/an_everlasting_nightmare-1,Neu,Neu
input_data/an_everlasting_nightmare-2,Neu,Neu
input_data/an_everlasting_nightmare-3,NoNeu,NoNeu
input_data/an_everlasting_nightmare-4,NoNeu,NoNeu
input_data/an_everlasting_nightmare-5,NoNeu,NoNeu
input_data/an_everlasting_nightmare-6,NoNeu,NoNeu
